AGENCIA,CONTA,BANCO,TITULAR,OPERACAO,DATAHORA,VALOR
4582,0007,ITAU,LUCIA,SAQUE,2022-02-08T16:44:55,424.15
4657,0002,ITAU,FELIPE,SAQUE,2022-02-07T03:52:22,912.72
7912,0005,SANTANDER,ANA,SAQUE,2022-02-01T14:44:05,652.49
1488,0006,SANTANDER,PEDRO,SAQUE,2022-02-01T16:34:02,960.82
2824,0000,SANTANDER,JOAO,DEPOSITO,2022-02-08T00:09:57,193.1
1488,0006,SANTANDER,PEDRO,SAQUE,2022-02-08T00:37:20,594.92
7912,0005,SANTANDER,ANA,SAQUE,2022-02-06T02:52:54,184.3
5506,0001,ITAU,MARIA,SAQUE,2022-02-07T11:34:46,729.4
4582,0007,ITAU,LUCIA,SAQUE,2022-02-05T05:39:22,880.98
2824,0000,SANTANDER,JOAO,DEPOSITO,2022-02-04T08:56:09,156.32
2424,0004,CAIXA,CARLOS,DEPOSITO,2022-02-05T23:44:31,467.56
4657,0002,ITAU,FELIPE,SAQUE,2022-02-09T18:19:28,875.98
7912,0005,SANTANDER,ANA,DEPOSITO,2022-02-01T17:04:43,165.47
1488,0006,SANTANDER,PEDRO,DEPOSITO,2022-02-08T23:28:25,584.09
9279,0008,CAIXA,MARCOS,SAQUE,2022-02-07T14:54:52,36.99
7912,0005,SANTANDER,ANA,SAQUE,2022-02-08T00:41:54,736.0
2824,0000,SANTANDER,JOAO,DEPOSITO,2022-02-02T05:46:15,93.65
2824,0000,SANTANDER,JOAO,DEPOSITO,2022-02-08T07:50:52,265.26
5506,0001,ITAU,MARIA,DEPOSITO,2022-02-02T17:36:51,265.62
9279,0008,CAIXA,MARCOS,SAQUE,2022-02-05T08:13:10,210.87
2679,0003,CAIXA,JULIA,DEPOSITO,2022-02-08T18:06:27,508.16
2824,0000,SANTANDER,JOAO,DEPOSITO,2022-02-08T07:50:52,265.26
2679,0003,CAIXA,JULIA,DEPOSITO,2022-02-05T20:12:53,995.15
7912,0005,SANTANDER,ANA,SAQUE,2022-02-06T09:04:16,808.21
1488,0006,SANTANDER,PEDRO,SAQUE,2022-02-01T19:57:29,595.44
1434,0009,CAIXA,SANDRA,DEPOSITO,2022-02-05T06:16:43,641.84
2679,0003,CAIXA,JULIA,SAQUE,2022-02-07T13:04:52,755.51
1434,0009,CAIXA,SANDRA,DEPOSITO,2022-02-05T05:50:43,305.89
4657,0002,ITAU,FELIPE,SAQUE,2022-02-08T14:45:24,160.82
7912,0005,SANTANDER,ANA,SAQUE,2022-02-05T22:22:36,486.16
4657,0002,ITAU,FELIPE,SAQUE,2022-02-09T06:33:45,884.9
7912,0005,SANTANDER,ANA,SAQUE,2022-02-02T03:09:53,926.44
2824,0000,SANTANDER,JOAO,SAQUE,2022-02-10T05:01:07,806.01
2824,0000,SANTANDER,JOAO,SAQUE,2022-02-06T10:50:29,589.68
